Layer,k[0],k[1:]
28,12881631.156575164,"[9618988.497981062, 6853808.042334784, 5760375.403319478, 5151139.051855966, 4763093.026285656, 4498489.621076383, 4311518.342902407, 4177534.172863677, 4081999.485044539, 4015759.6777963415, 3972767.918702014, 3948887.944228351, 3941219.6307228804, 3947697.9697007835, 3966844.024974376, 3997604.7612256855, 4039247.1296794415, 4091286.5530641824, 4153437.9784974456, 4225582.222003758, 4307743.011964843, 4400071.77429761, 4502838.231165558, 4616425.553248078, 4741329.254446417, 4878159.3313803375, 5027645.3797148615, 5190644.598039389, 5368152.739583671, 5561318.20793727, 5771459.627052635, 6000087.358315766, 6248929.598134458, 6519963.87877503, 6815455.025262296, 7138000.907094687, 7490587.684705079, 7876656.712523282, 8300185.857447088, 8765788.77009958, 9278836.67052707, 9845608.569066018, 10473477.662016958, 11171144.097879767, 11948927.657458186, 12819138.498583078, 13796550.523874342, 14899010.940079033, 16148232.397082329, 17570832.565436184, 19199712.98641002, 21075909.00076258, 23251102.73052126, 25791083.207425594, 28780581.405747473, 32330136.538758934, 36586021.82885748, 41744877.636193275, 48075760.45396352, 55954186.26813316, 65916154.79759741, 78746587.80533683, 95629334.63804436, 118412234.86119568, 150098375.48936713, 195809324.04461694, 264805704.60817528, 375089908.0143504, 565027126.2972672, 926833462.4846959, 1721677759.632886]"
29,13161212.018856319,"[9830570.04296499, 7008034.833167203, 5892880.333832953, 5272259.057558313, 4877581.976885967, 4609038.054239459, 4419857.841559842, 4284886.966670856, 4189293.238256015, 4123742.214044675, 4082073.9225313812, 4060080.5241039842, 4054817.837189868, 4064196.0762360394, 4086725.8109658957, 4121354.706285253, 4167359.703095749, 4224274.370323017, 4291839.356046632, 4369968.518608466, 4458726.060886845, 4558311.663475156, 4669051.666337296, 4791395.034725174, 4925913.308287606, 5073304.058443472, 5234397.621183515, 5410167.064468056, 5601741.514154792, 5810423.116460651, 6037708.071449697, 6285312.342635155, 6555202.844195664, 6849635.142573863, 7171198.998968273, 7522873.443229437, 7908093.533704698, 8330831.556121737, 8795696.194377571, 9308054.231302112, 9874180.697250366, 10501445.203832, 11198544.656629384, 11975795.888629287, 12845506.363784134, 13822447.50796771, 14924464.234835088, 16173267.053729892, 17595471.617551386, 19223977.543623745, 21099818.31270963, 23274674.219210267, 25814332.464680552, 28803522.150382936, 32352780.52547139, 36608378.69709307, 41766954.681916595, 48097562.29942906, 55975714.39301729, 65937406.87677157, 78767556.77008009, 95650007.33139515, 118432590.0814178, 150118381.08383536, 195828932.4828241, 264824846.03320718, 375108478.95387506, 565044970.6035149, 926850337.8467126, 1721693276.8366294]"
30,13451004.324067181,"[10049984.775981864, 7168102.658717368, 6030514.519875653, 5398170.440230824, 4996699.160956584, 4724153.3502459, 4532771.218620382, 4396871.788833454, 4301318.803716004, 4236592.674021013, 4196417.482512176, 4176512.631950885, 4173889.850524649, 4186435.4272602946, 4212651.027893022, 4251487.273830175, 4302233.9943199605, 4364446.456915468, 4437895.256397471, 4522532.297070622, 4618468.106915519, 4725957.43353188, 4845391.152075395, 4977293.221088693, 5122321.901219994, 5281274.792483509, 5455097.502519339, 5644895.9664478, 5851952.622500837, 6077746.824496061, 6323980.057106912, 6592606.726438165, 6885871.5409780145, 7206354.793031871, 7557027.218636245, 7941316.580864161, 8363188.722135186, 8827246.61254543, 9338851.947668046, 9904275.210002422, 10530881.928427607, 11227365.32711345, 12004038.903642595, 12873207.084112108, 13849638.511072636, 14951175.5305807, 16199526.264380157, 17621304.12404996, 19249406.599070907, 21124865.122776985, 23299357.987883985, 25838670.40207672, 28827529.43726462, 32376470.226270616, 36631761.60932183, 41790039.104260325, 48120353.69263315, 55998214.89538777, 65959614.617233634, 78789464.8919797, 95671602.59208715, 118453850.81256902, 150139274.15987873, 195849408.70110178, 264844832.86104798, 375127868.7435076, 565063600.693176, 926867955.5981255, 1721709476.2199388]"
31,13751535.767072491,"[10277643.09072629, 7334324.586169243, 6173558.933694486, 5529141.3750284165, 5120709.227458276, 4844102.282635629, 4650531.414791457, 4513771.00716345, 4418370.856716, 4354620.766743191, 4316126.055900738, 4298532.277254999, 4298807.206605002, 4314814.300809056, 4345048.222307727, 4388465.187064171, 4444371.270109117, 4512347.534805566, 4592199.411280334, 4683922.610106081, 4787680.724877685, 4903791.429808825, 5032719.286978394, 5175073.9048900455, 5331612.6870175, 5503247.766573936, 5691056.998119891, 5896299.104550928, 6120433.285060227, 6365143.795410663, 6632370.23301509, 6924344.512256324, 7243635.817965865, 7593205.198284954, 7976471.929021925, 8397394.38526398, 8860568.939608276, 9371351.434469938, 9936007.137912333, 10561896.913580805, 11257709.793155223, 12033755.488596916, 12902334.989910126, 13878213.802546918, 14979231.389235556, 16227093.200906873, 17648410.15230012, 19276077.372953594, 21151124.036233544, 23325226.236610234, 25864167.00388533, 28852671.205723047, 32401271.68925923, 36656234.86002666, 41814193.56625116, 48144195.77209675, 56021747.48073745, 65982836.366567135, 78812369.21775544, 95694176.2020818, 118476071.58245802, 150161107.96914053, 195870804.60911036, 264865715.53189206, 375148126.13551354, 565083063.2714071, 926886359.8094907, 1721726398.2439995]"
32,14063369.509758322,"[10513983.351518461, 7507035.512704138, 6322314.570377711, 5665459.561517887, 5249896.506188601, 4969171.886721179, 4773432.541324966, 4635889.355653293, 4540767.908425443, 4478161.784887269, 4441554.725263104, 4426517.455668673, 4429974.14165017, 4449766.785742879, 4484385.310939789, 4532794.610918954, 4594320.898450971, 4668575.764994293, 4755405.115279183, 4854855.111602694, 4967150.197174475, 5092680.063713625, 5231993.567412257, 5385798.3479222655, 5554965.422461063, 5740538.404544562, 5943747.292516768, 6166027.025437325, 6409041.240483731, 6674711.908507466, 6965255.792257309, 7283228.98487407, 7631581.167186886, 8013721.698766112, 8433600.265394747, 8895805.59223947, 9405686.762343079, 9969503.043742418, 10594609.950937986, 11289691.725247651, 12065053.768188417, 12932993.171036243, 13908271.892551959, 15008726.147824883, 16256058.391295731, 17676876.748059392, 19304073.72271514, 21178675.986933947, 23352357.214316666, 25890898.049310625, 28879020.959127188, 32427256.31624669, 36681867.905405045, 41839485.71693754, 48169154.50107384, 56046376.53059113, 66007135.010480285, 78836331.20329368, 95717788.23049915, 118499311.08871663, 150183939.817649, 195893176.05378938, 264887548.29955506, 375169303.5585141, 565103408.5580678, 926905597.8626714, 1721744086.406849]"
33,14387107.130382745,"[10759474.25249795, 7686594.049440894, 6477104.213819165, 5807433.982799202, 5384566.818765849, 5099671.363422334, 4901791.911053121, 4763556.125181124, 4668854.689419344, 4607579.2166748345, 4573089.078006506, 4560879.340489671, 4567831.146290213, 4591766.75685066, 4631174.044776589, 4685030.184548542, 4752686.042807639, 4833789.213669568, 4928232.594414592, 5036120.482926384, 5157747.1832626015, 5293584.9477286935, 5444279.2556679845, 5610650.205956012, 5793699.341131538, 5994621.622154146, 6214822.59445709, 6455941.068935454, 6719877.915556312, 7008831.856958389, 7325343.477782428, 7672349.057246774, 8053246.316702217, 8471974.787267178, 8933114.293419152, 9442006.081837118, 10004902.490769416, 10629152.879354835, 11323435.99643898, 12098052.319031596, 12965294.500312507, 13939920.47649771, 15039762.793263555, 16286520.532832503, 17706798.694057226, 19333486.85309422, 21207608.904149115, 23380835.847039104, 25918945.7062338, 28906658.327708244, 32454501.3978163, 36708735.87346488, 41865988.67897892, 48195301.13479781, 56072171.551306486, 66032578.40480769, 78861417.13025153, 95742503.43598485, 118523632.58781862, 150207831.44208992, 195916583.1831069, 264910389.58245325, 375191457.4547739, 565124690.6093755, 926925720.7533092, 1721762587.5204272]"
34,14723391.866513979,"[11014617.41506594, 7873384.600062005, 6638274.389191337, 5955396.854408324, 5525049.489130802, 5235934.197252907, 5035952.302650027, 4897127.611005582, 4803004.818396218, 4743267.676763892, 4711148.444925562, 4702065.880367771, 4712858.981525421, 4741332.377504587, 4785975.078244746, 4845780.750686109, 4920130.162059665, 5008713.253473759, 5111477.464198723, 5228594.133361563, 5360437.884954765, 5507575.793297872, 5670764.333951175, 5850952.931384325, 6049293.483094364, 6267155.66939339, 6506148.211954951, 6768146.56571123, 7055327.850670844, 7370214.18091622, 7715725.955450714, 8095247.170883268, 8512705.437281847, 8972670.175091982, 9480473.508684814, 10042359.741227746, 10665671.122069925, 11359080.079716146, 12132881.44539848, 12999362.80302298, 13973277.511435091, 15072453.95689398, 16318587.414463937, 17738279.368534803, 19364416.11808926, 21238018.464255393, 23410754.444838524, 25948399.19816917, 28935669.699784756, 32483090.71253246, 36736920.13449043, 41893781.59324777, 48222712.74175465, 56099207.67423487, 66059239.856482506, 78887698.56947958, 95768391.7139399, 118549104.32717764, 150232849.42748332, 195941090.84963012, 264934302.35283613, 375214648.6541047, 565146967.6743798, 926946783.4259806, 1721781952.0175037]"
35,15072912.185724163,"[11279950.251717692, 8067819.657658756, 6806197.52496855, 6109705.786949396, 5671699.579277068, 5378320.516631633, 5176284.489438273, 5036989.852246188, 4943623.795982271, 4885656.20169279, 4856189.550088793, 4850565.863676101, 4865583.226740286, 4899031.211698696, 4949403.739354342, 5015715.894652486, 5097384.4493959695, 5194149.057969585, 5306020.465466633, 5433247.39994283, 5576296.9781124145, 5735845.39801082, 5912776.939706355, 6108190.135151178, 6323410.569076359, 6560010.237092704, 6819833.781238675, 7105032.293768883, 7418105.763728112, 7761955.671107143, 8139949.744702876, 8556001.532508254, 9014668.238184273, 9521271.320761621, 10082045.728194386, 10704325.46510598, 11396775.65934676, 12169684.645719975, 13035334.197352886, 14008472.446378589, 15106923.048295856, 16352376.965751767, 17771431.719374597, 19396969.928927302, 21270008.94005853, 23442213.49901569, 25979355.555080414, 28966148.931172967, 32513115.19933045, 36766508.94025844, 41922950.22825992, 48251472.78629589, 56127566.214113, 66087198.65995681, 78915252.89739692, 95795528.5944426, 118575800.02586687, 150259065.6715721, 195966769.0589776, 264959354.56910038, 375238942.7890065, 565170302.5906332, 926968845.1461029, 1721802234.2922282]"
36,15436405.722775817,"[11556049.12822638, 8270342.346598078, 6981274.350811981, 6270746.189880297, 5824900.379727416, 5527219.728950076, 5323190.068892941, 5183561.704089962, 5091152.369932532, 5035211.962900698, 5008710.63315165, 5006913.520322666, 5026579.442183793, 5065486.041886568, 5122136.61413075, 5195573.426780805, 5285256.368735552, 5390983.378103226, 5512838.7037267685, 5651160.5177297145, 5806522.637623638, 5979727.118056715, 6171805.764114231, 6384029.497023284, 6617925.142764568, 6875299.721211195, 7158272.758282483, 7469317.577094406, 7811312.988192439, 8187607.3336698115, 8602097.489065975, 9059326.243300378, 9564602.528845608, 10124150.353886724, 10745294.122377336, 11436690.495472997, 12208620.304008484, 13073358.635639787, 14045647.632832408, 15143305.551608741, 16388018.453091562, 17806379.372302115, 19431266.78465444, 21303694.162763238, 23475322.583261073, 26011920.46049577, 28998198.144194007, 32544673.71359873, 36797598.141741216, 41953587.66348064, 48281671.78104031, 56157335.29361069, 66116540.69653869, 78944163.87237203, 95823995.79755592, 118603799.41033363, 150286557.90198433, 195993693.4689505, 264985619.6567309, 375264410.7563162, 565194763.2240486, 926991969.9132953, 1721823493.0785575]"
37,15814663.627308106,"[11843532.860543301, 8481429.239995915, 7163936.561429247, 6438933.947918624, 5985066.188721873, 5683053.46781981, 5477104.634675391, 5337298.289999217, 5246070.325623378, 5192444.459210306, 5169256.115615949, 5171693.744113758, 5196479.0429968685, 5241381.506581023, 5304919.079712778, 5386167.967439696, 5484639.478062525, 5600199.826977715, 5733018.66364263, 5883537.687969685, 6052454.052182913, 6240715.308324158, 6449524.003356665, 6680350.948364496, 6934956.875127196, 7215422.754011869, 7524189.556743145, 7864108.762671441, 8238505.47655499, 8651256.698923469, 9106888.123237789, 9610693.897925347, 10168885.179468513, 10788775.14309588, 11479010.589750886, 12249863.647554964, 13113601.682441533, 14084959.947057843, 15181750.512152076, 16425653.847815633, 17843257.89509833, 19467436.44500023, 21339198.614291906, 23510201.374763906, 26046209.20951003, 29031928.629617512, 32577873.879216254, 36830291.996616006, 41985795.05701494, 48313408.01886201, 56188610.543206215, 66147359.105264544, 78974522.27925229, 95853881.85372686, 118633188.8124299, 150315410.25315356, 196021945.94600034, 265013177.04421473, 375291129.2314105, 565220422.9586704, 927016226.9215217, 1721845791.8714514]"
38,16208535.372092878,"[12143066.587878874, 8701593.487776693, 7354649.780940235, 6614718.406258889, 6152645.419290945, 5846278.895783536, 5638501.339721374, 5498694.888920277, 5408900.764720336, 5357910.261209652, 5338421.895001307, 5345548.03355518, 5375975.999515593, 5427471.692828342, 5498573.946008831, 5588400.824724883, 5696524.766658321, 5822891.945206568, 5967771.326737821, 6131724.6413041055, 6315591.911879659, 6520489.320366323, 6747817.587425023, 6999280.021923631, 7276910.140565395, 7583109.386540294, 7920696.069115698, 8292967.267692298, 8703776.152440935, 9157628.03133589, 9659799.514466107, 10216486.586809903, 10834989.229797691, 11523942.71046567, 12293609.021207005, 13156246.573016882, 14126582.662097096, 15222422.24669832, 16465439.395620048, 17882216.24395603, 19505621.2688483, 21376658.67089629, 23546980.814187348, 26082347.794825673, 29067461.867187917, 32612833.050889373, 36864704.07980013, 42019682.50991762, 48346788.3958447, 56221495.88702297, 66179755.03528881, 79006426.65144181, 95885282.79817486, 118664061.83820295, 150345713.9110241, 196051615.18669057, 265042112.76122928, 375319181.241909, 565247361.2429297, 927041691.0721769, 1721869199.3964467]"
39,16618934.078958374,"[12455366.069336444, 8931388.295400795, 7553916.867438987, 6798585.706317179, 6328124.0795013085, 6017392.412677087, 5807894.906815276, 5668291.321644813, 5580214.945604354, 5532218.392553315, 5516861.365797758, 5529181.266746983, 5565834.499845102, 5624588.844295889, 5704011.39679873, 5803271.392598093, 5922013.7792778015, 6060278.3757008165, 6218449.790227488, 6397229.179761887, 6597622.459544539, 6820941.783728242, 7068818.581696659, 7343227.479150474, 7646521.250010282, 7981477.659905404, 8351359.763602734, 8759991.98085311, 9211855.169258296, 9712205.01900196, 10267219.512219518, 10884183.051434308, 11571717.348941982, 12340072.539741129, 13201496.605259001, 14170707.615595758, 15265502.317616165, 16507547.422664404, 17923418.423238814, 19545977.74611616, 21416224.022934735, 23585804.426884472, 26120474.14107454, 29104930.683142066, 32649679.40361744, 36900958.312476516, 42055370.04140878, 48381929.33846092, 56256104.4269954, 66213838.491374254, 79039984.0814308, 95918302.94956326, 118696520.11719906, 150377567.834818, 196082797.41297317, 265072520.1075096, 375348656.8088715, 565275664.1999485, 927068443.5471678, 1721893790.134038]"
40,17046842.42761955,"[12781202.458329845, 9171410.799294703, 7762281.603472218, 6991062.5202035755, 6512029.678358391, 6196933.827983148, 5985846.152447559, 5846676.911365375, 5760637.771897316, 5716036.448267207, 5705292.28398934, 5723369.447436884, 5766897.73646301, 5833653.376839682, 5922240.459007278, 6031890.343440697, 6162333.857022017, 6313720.546675101, 6486569.8715899885, 6681745.289346963, 6900445.832195759, 7144212.066697419, 7414944.87262252, 7714936.600970745, 8046915.079268128, 8414101.758647263, 8820286.141356379, 9269919.576374948, 9768232.654409915, 10321381.87729323, 10936633.156529605, 11622592.196025401, 12389495.193944097, 13249577.929949999, 14217547.729447842, 15311191.819599032, 16552168.420975685, 17967045.396183252, 19588678.256305873, 21458059.300462663, 23626829.83193457, 26160739.511386216, 29144480.566447914, 32688553.16909933, 36939190.127770126, 42092988.69172585, 48418957.85047197, 56292559.4397794, 66249729.28596568, 79075311.13243198, 95953055.78488922, 118730674.14358091, 150411079.56657946, 196115597.1514871, 265104500.4021032, 375379653.6647136, 565305425.3106005, 927096572.4501395, 1721919644.9062967]"
41,17493319.222104933,"[13121407.617009148, 9422306.39197306, 7980332.82522703, 7192720.239751153, 6704935.618346401, 6385491.065169424, 6172967.100892901, 6034496.106447056, 5950854.030693769, 5910097.568250433, 5904504.613524854, 5928968.585230038, 5980098.009900123, 6055685.431414276, 6154382.275215715, 6275494.945844099, 6418855.894738227, 6584743.348512113, 6773834.291693389, 6987181.550557047, 7226209.5896317065, 7492726.028793395, 7788947.524415672, 8117539.881270796, 8481673.286829472, 8885094.531760812, 9332219.11361757, 9828247.32062012, 10379309.874527723, 10992650.61779511, 11676856.249036968, 12442146.503887266, 13300742.819086045, 14267339.949792445, 15359714.03826958, 16599513.46480316, 18013297.291829824, 19633913.093684793, 21502345.940115094, 23670230.47069323, 26203310.1146816, 29186271.16950518, 32729608.042477906, 36979547.79445863, 42132681.77226424, 48458012.697704196, 56330995.503267884, 66287558.11357474, 79112534.86587262, 95989664.92447686, 118766644.22217298, 150446366.14094222, 196150128.10868597, 265138163.82424474, 375412278.0584996, 565336746.1794083, 927126173.5252504, 1721946851.5343022]"
42,17959506.70048707,"[13476880.042242192, 9684773.557988666, 8208709.051534042, 7404179.684929855, 6907466.145638891, 6583705.477480747, 6369926.778717965, 6232454.868964985, 6151615.500454813, 6115208.40597555, 6115369.519253433, 6146924.904439673, 6206468.380732432, 6291818.240709737, 6401685.5115107, 6535466.908711538, 6693115.10180375, 6875059.398495048, 7082161.164991707, 7315694.745040774, 7577348.543629736, 7869243.453017354, 8193967.547108561, 8554627.318405986, 8954916.907788277, 9399207.941948444, 9892663.879633337, 10441384.30772376, 11052586.57374078, 11734834.687367678, 12498328.835664183, 13355273.510883182, 14320348.691625357, 15411317.55319482, 16649817.020801008, 18062395.963058352, 19681892.807311237, 21549284.335915208, 23716197.592796683, 26248368.947663486, 29230478.02390796, 32773012.787148714, 37022193.92398876, 42174606.286167085, 48499245.75203943, 56371559.772482276, 66327467.76588559, 79151794.00196505, 96028265.24325633, 118804561.5347104, 150483555.1095655, 196186514.15551662, 265173630.35888195, 375446645.66097975, 565369737.3949368, 927157350.9643741, 1721975505.5762925]"
43,18446638.68647673,"[13848591.485613946, 9959569.291416708, 8448103.683593847, 7626116.40711531, 7120301.940960228, 6792277.868320845, 6577457.795799851, 6441327.951213524, 6363749.070608303, 6332258.258791536, 6338849.702574834, 6378286.614484161, 6447156.147865713, 6543313.6431533545, 6665544.303235427, 6813353.23997958, 6986835.36172384, 7186597.623317659, 7413717.696370542, 7669729.773207873, 7956632.277110666, 8276914.899549603, 8633604.272592783, 9030329.092654347, 9471406.885689795, 9961956.025189698, 10508038.242927194, 11116838.877337575, 11796894.690805405, 12558382.527120829, 13413486.754127145, 14376869.892237127, 15466279.874519467, 16703340.22897029, 18114587.96254903, 19732850.91434449, 21599096.32546866, 23764942.5452258, 26296117.912184358, 29277294.50778556, 32818953.070613325, 37067307.190758765, 42218934.54674262, 48542823.519789934, 56414413.42809272, 66369614.509186864, 79193240.23352599, 96069004.12725341, 118844569.34411263, 150522785.6970997, 196224890.43761897, 265211030.86199832, 375482882.5837271, 565404519.4982436, 927190218.3153744, 1722005711.1580496]"
44,18956049.696481805,"[14237594.362711154, 10247515.17685299, 8699270.857916147, 7859266.675323166, 7344186.448296368, 7011975.325695053, 6796363.837997735, 6661967.204844996, 6588166.041634873, 6562229.558274627, 6576011.314767003, 6624217.521760717, 6703438.488614276, 6811580.148635969, 6947519.22869283, 7110890.717087299, 7301957.922115475, 7521537.060585737, 7770960.201066136, 8052067.273737669, 8367222.096520811, 8719350.179049283, 9111998.128078043, 9549416.192918599, 10036667.125837028, 10579766.299590051, 11185860.120333642, 11863452.421530932, 12622692.005972028, 13475739.20542255, 14437235.8031227, 15524911.723561645, 16760374.748999953, 18170148.0184471, 19787047.057818472, 21652028.07393098, 23816699.419493318, 26346780.25691265, 29326934.108469307, 32867633.57074684, 37115084.30132288, 42265856.02619767, 48588928.8842262, 56459733.3250134, 66414169.64956486, 79237039.7167449, 96112042.89747691, 118886824.35764885, 150564210.10836494, 196265404.6296847, 265250508.26340914, 375521126.5291078, 565441224.075134, 927224899.5061483, 1722037581.908905]"
45,19489185.133388415,"[14645030.062022068, 10549504.22921262, 8963032.048707247, 8104434.248551659, 7579933.05563999, 7243638.999795899, 7027528.219549537, 6895311.094459161, 6825872.806853563, 6806209.958151355, 6828037.730324149, 6886012.820775285, 6976740.667114273, 7098194.048116684, 7249361.909969881, 7430034.702756971, 7640675.318242192, 7882346.99764955, 8156681.840489775, 8465880.690098286, 8812739.617418677, 9200701.236797154, 9633931.372041762, 10117423.577929854, 10657136.010685146, 11260167.379510492, 11934981.45233038, 12691693.1330733, 13542433.872871727, 14501820.682689846, 15587562.094671369, 16821247.289087236, 18229383.110353947, 19844770.696013868, 21708353.431759953, 23871728.12373507, 26400603.40238017, 29379633.033113003, 32919280.39967251, 37165742.25510675, 42315579.473365426, 48637763.097605586, 56507713.873565435, 66461321.315899014, 79283374.76682651, 96157558.42729604, 118931498.27348685, 150607995.00983334, 196308218.355793, 265292218.92767835, 375561528.09061956, 565479994.9906445, 927261530.0015807, 1722071242.0189595]"
46,20047612.719088823,"[15072138.281543568, 10866508.603397727, 9240283.532276578, 8362498.055323519, 7828433.262335792, 7488192.976390332, 7271923.670997053, 7142395.620409265, 7077983.156667009, 7065406.305124223, 7096245.520898521, 7165117.473741606, 7268657.305784941, 7404924.168745011, 7573043.976846844, 7772993.211592734, 8005471.650734007, 8271834.8428557515, 8574069.821289986, 8914804.986249536, 9297349.776659638, 9725763.014865637, 10204951.379987836, 10740801.814586967, 11340354.135249972, 12012023.005327791, 12765882.068563133, 13614027.851855665, 14571047.594379961, 15654624.270290017, 16886324.96295446, 18292637.270154715, 19906345.43066567, 21768377.859327078, 23930317.961092412, 26457862.221096456, 29435653.230857134, 32974143.90203899, 37219520.94770914, 42368335.34665853, 48689548.06481862, 56558569.19180846, 66511276.49625933, 79332445.79152393, 96205744.98408878, 118978779.53946304, 150654323.21253943, 196353508.80133057, 265336334.19736814, 375604252.22648597, 565520989.7872801, 927300258.1134615, 1722106827.4357648]"
47,20633035.34227507,"[15520267.54222504, 11199588.303636394, 9532004.845520765, 8634420.923039101, 8090665.992079996, 7746654.427169889, 7530623.572060868, 7404366.895742744, 7345732.494388655, 7341160.836710423, 7382103.04236491, 7463147.676503226, 7580977.324489012, 7733761.013374522, 7920791.302125245, 8142267.350893676, 8399170.615288138, 8693203.479210347, 9026774.262443751, 9403019.807499707, 9825861.84089315, 10300096.88211307, 10831522.42506221, 11427104.953685641, 12095198.475093871, 12845826.044782817, 13691041.667175412, 14645396.569982708, 15726543.00597936, 16956021.65756917, 18360297.26267779, 19972134.106737792, 21832443.032969832, 23992791.814075053, 26518862.860123277, 29495285.90371847, 33032501.896358788, 37276686.178292096, 42424378.61772317, 48744528.96902037, 56612535.575080276, 66564263.37003553, 79384473.50171757, 96256816.33159053, 119028875.35813534, 150703395.58841026, 196401470.54664183, 265383042.14709115, 375649479.9333744, 565564381.2722733, 927341246.4868917, 1722144487.221846]"
48,21247305.527018715,"[15990887.052315366, 11549901.044623725, 9839268.393892832, 8921259.525591865, 8367708.240216643, 8020145.252758652, 7804814.879842371, 7682495.671280429, 7630494.312220871, 7634970.022751272, 7687252.136756077, 7781916.019134924, 7915713.289822012, 8086951.196239114, 8295124.635115057, 8540699.536743551, 8824993.037544549, 9150120.308390528, 9518991.529439718, 9935350.659270197, 10403853.004151285, 10930182.57995978, 11521213.716597885, 12185224.858300745, 12932176.545385629, 13774070.626847863, 14725414.4704988, 15803823.160677612, 17030805.64170742, 18432799.340358853, 20042544.849028647, 21900932.274341166, 24059511.057667196, 26583947.213195324, 29558855.600338638, 33094663.44277966, 37337533.135446966, 42483992.01263493, 48802977.29973245, 56669874.33783436, 66620533.98631966, 79439701.44565618, 96311008.13619936, 119082013.97847712, 150755433.25784564, 196452317.65800452, 265432549.58192968, 375697410.1518972, 565610359.3236148, 927384673.7908173, 1722184385.098198]"
49,21892441.762058523,"[16485600.126365434, 11918713.443323515, 10163250.392274551, 9224175.748897962, 8660747.279799804, 8309905.476126626, 8095813.052777976, 7978194.163152084, 7933799.349297017, 7948506.557226405, 8013533.562027931, 8123461.088035658, 8275136.090511739, 8467038.305606484, 8698908.038306385, 8971531.242444485, 9286626.12487191, 9646800.787898868, 10055565.611973286, 10517392.700144202, 11037820.526002795, 11623606.450437099, 12282933.91514355, 13025685.546436489, 13863798.714855045, 14811726.973246157, 15887040.124393284, 17111208.707648277, 18510637.316806138, 20118038.242699027, 21974276.979733706, 24130881.353209972, 26653498.174301982, 29626725.007982075, 33160973.23902017, 37402390.4519096, 42547489.77152598, 48865194.35633862, 56730875.093993425, 66680367.34906411, 79498398.9225409, 96368580.72878325, 119138447.32220018, 150810680.09344435, 196506286.07809615, 265485084.31992865, 375748261.94129395, 565659132.9499519, 927430736.6453166, 1722226701.2033906]"
50,22570646.971663617,"[17006159.39812211, 12307413.752315171, 10505243.355963156, 9544449.711742215, 8971094.694494054, 8617308.695514798, 8405079.332237333, 8293035.611491948, 8257357.94463855, 8283645.119117036, 8363016.901922494, 8490082.430694744, 8661816.074742973, 8876911.60327524, 9135406.889007896, 9438472.495640188, 9788307.242375791, 10188110.042213947, 10642112.145880818, 11155663.104932785, 11735370.180915564, 12389296.169077545, 13127225.689424157, 13961015.715357393, 14905053.243032038, 15976852.497716367, 17197837.22006941, 18594372.270363033, 20199135.918968856, 22052964.270828485, 24207359.512467563, 26727945.836157024, 29699300.584985852, 33231816.769225657, 37471624.93845934, 42615222.02498168, 48931515.315288186, 56795859.5557065, 66744072.98180652, 79560864.34222674, 96429822.28364074, 119198454.00195801, 150869405.59332502, 196563636.3660705, 265540897.8057828, 375802276.96761584, 565710932.6459179, 927479651.8242412, 1722271634.1033216]"
51,23284329.457871534,"[17554484.109001487, 12717526.384171806, 10866670.3998366, 9883494.725254998, 9300202.559601948, 8943879.969025433, 8734240.819433942, 8628777.09119244, 8603086.211147323, 8642492.66145961, 8738035.883599699, 8884382.025138915, 9078672.065233111, 9319864.328472674, 9608357.667921364, 9945785.936938107, 10334925.799371839, 10779687.153949797, 11285171.040223747, 11857789.773457259, 12505451.246301085, 13237815.552806884, 14066638.487098008, 15006224.020087838, 16074017.61448282, 17291385.55481088, 18684644.275888443, 20286430.877925098, 22137546.146298945, 24289461.66935289, 26807774.837227285, 29777039.20990014, 33307626.359564304, 37545647.13237852, 42687579.90732777, 49002313.9684397, 56865185.94733846, 66811995.059878945, 79627429.11143827, 96495052.48862457, 119262342.7999953, 150931908.18791234, 196624656.847008, 265600268.11181712, 375859722.35812545, 565766013.0922663, 927531658.7790041, 1722319403.0931764]"
52,24036126.702488486,"[18132679.80493057, 13150728.5229664, 11249101.65340247, 10242874.530326977, 9649682.157798067, 9291316.580711484, 9085113.879190236, 8987386.210404903, 8973136.798556954, 9027424.164454356, 9141230.252790213, 9309313.677282542, 9529030.02674067, 9799663.835030317, 10122052.354192942, 10498389.032855809, 10932147.858782768, 11428098.102249563, 11992395.491393924, 12632746.61852631, 13358651.605196208, 14181737.620218158, 15116204.09694159, 16179410.684425354, 17392652.55575937, 18782186.678681254, 20380599.973442435, 22228650.489414454, 24377773.059058964, 26893533.112763405, 29860456.067044735, 33388888.33128041, 37624917.82746923, 42765001.55428821, 49078008.263869405, 56939254.152575016, 66884517.21673989, 79698462.14369082, 96564626.79564297, 119330456.68966675, 150998519.05678928, 196689667.24227643, 265663503.39330006, 375920893.9847915, 565824656.2596445, 927587022.5380712, 1722370250.8410764]"
